,datetime,open,high,low,close,volume,ema_23,ema_53
0,2019-04-25T09:15:00+05:30,1232.0,1244.7,1230.05,1241.05,87451,,
1,2019-04-25T10:15:00+05:30,1242.2,1249.4,1240.0,1245.25,42438,,
2,2019-04-25T11:15:00+05:30,1245.2,1259.8,1245.2,1250.55,94735,,
3,2019-04-25T12:15:00+05:30,1250.55,1251.0,1243.0,1244.85,16406,,
4,2019-04-25T13:15:00+05:30,1244.85,1245.7,1237.3,1242.65,40008,,
5,2019-04-25T14:15:00+05:30,1242.65,1250.0,1241.55,1242.85,53850,,
6,2019-04-25T15:15:00+05:30,1242.2,1250.0,1241.2,1246.25,26054,,
7,2019-04-26T09:15:00+05:30,1243.0,1254.9,1237.0,1245.55,47315,,
8,2019-04-26T10:15:00+05:30,1245.55,1247.25,1237.65,1241.85,30280,,
9,2019-04-26T11:15:00+05:30,1241.0,1242.0,1228.35,1230.0,44983,,
10,2019-04-26T12:15:00+05:30,1230.0,1234.25,1226.3,1230.8,34649,,
11,2019-04-26T13:15:00+05:30,1230.85,1234.9,1229.05,1232.95,20180,,
12,2019-04-26T14:15:00+05:30,1232.9,1241.0,1232.3,1239.75,44803,,
13,2019-04-26T15:15:00+05:30,1239.1,1241.0,1235.1,1239.2,20232,,
14,2019-04-30T09:15:00+05:30,1239.8,1248.0,1220.15,1235.95,60993,,
15,2019-04-30T10:15:00+05:30,1236.15,1241.95,1232.6,1240.75,29461,,
16,2019-04-30T11:15:00+05:30,1241.0,1242.55,1211.0,1213.9,78594,,
17,2019-04-30T12:15:00+05:30,1213.9,1227.7,1213.9,1222.55,30569,,
18,2019-04-30T13:15:00+05:30,1222.55,1222.55,1214.4,1215.05,29361,,
19,2019-04-30T14:15:00+05:30,1216.3,1217.55,1205.1,1216.2,77217,,
20,2019-04-30T15:15:00+05:30,1216.2,1224.9,1215.95,1216.5,29842,,
21,2019-05-02T09:15:00+05:30,1217.0,1224.9,1203.0,1211.85,74707,,
22,2019-05-02T10:15:00+05:30,1211.65,1211.85,1195.0,1199.0,70860,1232.404347826087,
23,2019-05-02T11:15:00+05:30,1199.0,1200.7,1190.0,1191.75,52458,1229.0164855072462,
24,2019-05-02T12:15:00+05:30,1192.6,1197.4,1183.0,1183.0,61409,1225.1817783816423,
25,2019-05-02T13:15:00+05:30,1182.75,1183.5,1153.8,1168.95,242004,1220.4957968498386,
26,2019-05-02T14:15:00+05:30,1169.5,1223.1,1169.05,1200.0,513564,1218.7878137790187,
27,2019-05-02T15:15:00+05:30,1200.0,1202.2,1187.2,1194.55,68257,1216.7679959641005,
28,2019-05-03T09:15:00+05:30,1194.55,1212.55,1192.1,1206.0,100295,1215.8706629670921,
29,2019-05-03T10:15:00+05:30,1206.0,1206.15,1198.05,1198.7,39218,1214.439774386501,
30,2019-05-03T11:15:00+05:30,1198.75,1202.25,1195.1,1201.4,27826,1213.3531265209594,
31,2019-05-03T12:15:00+05:30,1201.4,1203.35,1190.1,1191.0,44481,1211.4903659775462,
32,2019-05-03T13:15:00+05:30,1191.9,1201.0,1183.3,1197.1,56198,1210.2911688127506,
33,2019-05-03T14:15:00+05:30,1197.1,1202.65,1195.5,1200.55,50753,1209.4794047450214,
34,2019-05-03T15:15:00+05:30,1201.5,1203.0,1194.0,1199.3,28582,1208.6311210162694,
35,2019-05-06T09:15:00+05:30,1170.35,1205.85,1170.35,1194.15,69200,1207.4243609315802,
36,2019-05-06T10:15:00+05:30,1194.2,1200.45,1190.35,1198.0,14459,1206.638997520615,
37,2019-05-06T11:15:00+05:30,1198.0,1199.1,1190.65,1191.05,16979,1205.339914393897,
38,2019-05-06T12:15:00+05:30,1190.35,1191.2,1181.0,1182.5,31613,1203.4365881944057,
39,2019-05-06T13:15:00+05:30,1182.4,1189.95,1176.85,1189.25,27505,1202.2543725115386,
40,2019-05-06T14:15:00+05:30,1189.45,1192.65,1185.8,1191.0,35957,1201.316508135577,
41,2019-05-06T15:15:00+05:30,1191.0,1191.15,1183.65,1190.3,29942,1200.3984657909455,
42,2019-05-07T09:15:00+05:30,1195.5,1199.1,1172.0,1182.25,82464,1198.8860936417,
43,2019-05-07T10:15:00+05:30,1182.25,1186.85,1181.05,1184.75,17719,1197.708085838225,
44,2019-05-07T11:15:00+05:30,1184.75,1189.8,1183.0,1185.85,16669,1196.7199120183727,
45,2019-05-07T12:15:00+05:30,1185.95,1187.95,1181.05,1186.0,16090,1195.8265860168415,
46,2019-05-07T13:15:00+05:30,1186.0,1187.95,1178.6,1180.95,19712,1194.5868705154378,
47,2019-05-07T14:15:00+05:30,1180.9,1182.75,1152.35,1168.1,117929,1192.379631305818,
48,2019-05-07T15:15:00+05:30,1168.45,1182.0,1160.35,1164.95,49102,1190.093828697,
49,2019-05-08T09:15:00+05:30,1156.0,1169.65,1152.0,1162.05,64173,1187.75684297225,
50,2019-05-08T10:15:00+05:30,1162.15,1166.85,1156.85,1157.45,20969,1185.2312727245626,
51,2019-05-08T11:15:00+05:30,1157.5,1167.85,1152.4,1166.9,21675,1183.7036666641825,
52,2019-05-08T12:15:00+05:30,1166.15,1174.6,1165.0,1169.4,28805,1182.5116944421673,1206.0849056603774
53,2019-05-08T13:15:00+05:30,1168.65,1183.6,1168.15,1175.6,42938,1181.93571990532,1204.9558350803636
54,2019-05-08T14:15:00+05:30,1175.0,1177.5,1166.05,1170.0,38544,1180.9410765798766,1203.6611745218315
55,2019-05-08T15:15:00+05:30,1170.0,1180.0,1166.25,1170.3,29429,1180.0543201982202,1202.4255754654675
56,2019-05-09T09:15:00+05:30,1165.0,1183.8,1163.1,1177.05,65831,1179.803960181702,1201.485739337117
57,2019-05-09T10:15:00+05:30,1177.35,1199.0,1176.0,1184.5,59216,1180.1952968332266,1200.8566378801868
58,2019-05-09T11:15:00+05:30,1184.5,1189.75,1177.5,1178.3,37225,1180.0373554304576,1200.0212068475873
59,2019-05-09T12:15:00+05:30,1178.7,1186.3,1174.45,1183.5,29387,1180.3259091445861,1199.4093102976767
60,2019-05-09T13:15:00+05:30,1183.7,1187.95,1180.05,1183.0,15670,1180.5487500492038,1198.8015580644294
61,2019-05-09T14:15:00+05:30,1183.0,1183.0,1172.3,1173.4,40734,1179.9530208784367,1197.8607596175987
62,2019-05-09T15:15:00+05:30,1173.4,1178.95,1157.1,1169.6,61814,1179.090269138567,1196.814064816947
63,2019-05-10T09:15:00+05:30,1176.15,1180.0,1167.65,1176.95,45216,1178.9119133770198,1196.0783587126157
64,2019-05-10T10:15:00+05:30,1177.7,1185.0,1172.45,1183.05,14884,1179.2567539289348,1195.5958269084447
65,2019-05-10T11:15:00+05:30,1183.65,1188.0,1181.05,1184.95,29427,1179.7311911015236,1195.201537022947
66,2019-05-10T12:15:00+05:30,1184.9,1187.5,1183.0,1184.6,14852,1180.1369251763965,1194.8088875035785
